Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),UNZ_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),UNZ_0:Zone Operative Temperature [C](Hourly),UNZ_0:Zone Air Relative Humidity [%](Hourly),UNZ_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),PEOPLE UNZ_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly) 
 01/01  01:00:00,12.1,90.5,4.875,0.0,20.1972394033118,63.2233672480402,0.0,9.43185332625235 
 01/01  02:00:00,13.1125,89.5,6.625,0.0,20.2413973828699,67.3299856713324,0.0,9.43185332625235 
 01/01  03:00:00,12.625,88.,7.,0.0,20.2576754512504,68.9554556422627,0.0,9.43185332625235 
 01/01  04:00:00,12.025,89.25,5.75,0.0,20.2639743213445,68.9243825165767,0.0,9.43185332625235 
 01/01  05:00:00,11.05,93.125,4.375,0.0,20.2520698400296,68.4837059752806,0.0,9.43185332625235 
 01/01  06:00:00,10.6,93.125,4.625,0.0,20.2356005337125,67.6558828587889,0.0,9.43185332625235 
 01/01  07:00:00,10.4125,93.25,5.625,648123.089537994,20.1846497121658,66.9632157901857,0.0,9.43185332625235 
 01/01  08:00:00,10.425,94.,4.125,5394618.73782155,20.2360137817891,66.3646650029696,0.0,9.43185332625235 
 01/01  09:00:00,11.3125,90.25,4.875,7843163.94032841,20.4133739436528,65.6618832783156,0.0,9.43185332625235 
 01/01  10:00:00,12.8625,83.,6.,8877741.53408316,20.629340377614,65.3838995896929,0.0,9.43185332625235 
 01/01  11:00:00,14.125,76.875,7.25,8908139.02722816,20.8317463092823,65.3386427983602,0.0,9.43185332625235 
 01/01  12:00:00,15.25,70.,8.,8121358.91136206,21.0009022273109,65.0358578270196,0.0,9.43185332625235 
 01/01  13:00:00,16.325,62.625,7.375,8545688.0109713,19.7411645732445,58.1901932330437,207896132.240207,9.43185332625235 
 01/01  14:00:00,17.2,56.25,7.,9203119.75386174,19.2811034635857,52.2757495089511,73501899.8549058,9.43185332625235 
 01/01  15:00:00,17.75,52.125,7.,8816181.35110918,19.3391478166901,49.5273695901071,6772092.79818221,9.43185332625235 
 01/01  16:00:00,17.7125,52.25,6.375,6612472.49877349,19.250322788917,49.5485500750042,4977305.21651456,9.43185332625235 
 01/01  17:00:00,16.975,54.875,6.,2384944.09550019,18.9850931693655,50.5992971043511,111034286.030697,9.43185332625235 
 01/01  18:00:00,15.6,61.,4.75,0.0,19.5026887345727,48.7019800335821,61123253.1892619,9.43185332625235 
 01/01  19:00:00,14.5625,64.625,4.,0.0,19.9972667555373,52.3766171046538,0.0,9.43185332625235 
 01/01  20:00:00,13.175,73.125,2.75,0.0,20.0541737340583,56.7350103536929,0.0,9.43185332625235 
 01/01  21:00:00,11.9375,81.125,3.25,0.0,20.0831407034231,59.8765249593433,0.0,9.43185332625235 
 01/01  22:00:00,11.0375,85.5,3.375,0.0,20.1264787411756,61.4769794999237,0.0,9.43185332625235 
 01/01  23:00:00,10.45,87.625,3.,0.0,20.1394148117098,62.1594678189406,0.0,9.43185332625235 
 01/01  24:00:00,10.175,88.,3.,0.0,20.1417167347799,62.2127562983076,0.0,9.43185332625235 
 01/02  01:00:00,9.725,90.5,3.,0.0,20.1283756193471,62.1197239995033,0.0,9.56023599315505 
 01/02  02:00:00,9.25,92.,2.375,0.0,20.1013441049128,62.0084388447058,0.0,9.56023599315505 
 01/02  03:00:00,8.975,92.625,2.625,0.0,20.0671893556612,61.6146329791246,0.0,9.56023599315505 
 01/02  04:00:00,8.8375,93.,2.375,0.0,20.0270765290086,61.327996946824,0.0,9.56023599315505 
 01/02  05:00:00,8.675,93.,3.25,0.0,19.9810565131704,61.0715220419193,0.0,9.56023599315505 
 01/02  06:00:00,8.4125,93.,3.375,0.0,19.9276133027012,60.7160910277549,0.0,9.56023599315505 
 01/02  07:00:00,8.1125,93.625,1.125,459157.045317737,19.8273688305531,60.5059413478514,0.0,9.56023599315505 
 01/02  08:00:00,8.75,92.75,0.0,3490683.00288284,19.7805382710298,60.4996602992769,0.0,9.56023599315505 
 01/02  09:00:00,10.6375,85.75,1.875,7103028.92549882,19.9532504266136,60.6132015780236,0.0,9.56023599315505 
 01/02  10:00:00,13.6875,70.125,3.625,8322998.46257408,20.1943704918892,60.7604602109473,0.0,9.56023599315505 
 01/02  11:00:00,16.375,56.125,4.625,8184144.3895793,19.3365733150319,52.6533561367581,103147980.5336,9.56023599315505 
 01/02  12:00:00,18.0125,46.375,6.25,7323528.94784788,19.2599979975774,44.1752031887289,6190164.26530814,9.56023599315505 
 01/02  13:00:00,18.9375,40.5,7.,7809752.23846619,19.6975777223426,39.6019848768098,0.0,9.56023599315505 
 01/02  14:00:00,19.7,35.25,6.375,7844619.99725692,20.2702440837943,38.6004027387094,0.0,9.56023599315505 
 01/02  15:00:00,20.0625,33.,6.,7580143.41880006,20.636736877224,42.4813676122919,0.0,9.56023599315505 
 01/02  16:00:00,19.85,33.625,6.625,5812564.69763071,20.3836451439248,31.3264271394378,0.0,9.56023599315505 
 01/02  17:00:00,18.95,36.5,6.375,2261757.87655527,20.0280980175731,34.9100635960727,0.0,9.56023599315505 
